Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
1001,WPR_2022,1,1,1,PI432147,2/1/2022,91,120,29.3,12.3
1002,WPR_2022,1,1,1,PI329169,2/1/2022,87,110,25.3,14.7
1003,WPR_2022,1,1,1,PI472340,2/1/2022,91,110,25.3,5
1004,WPR_2022,1,1,1,PI472320,2/1/2022,78,101,25.3,3.2
1006,WPR_2022,1,1,2,PI298923,2/1/2022,91,122,25,13
1007,WPR_2022,1,1,2,PI432106,2/1/2022,85,122,31.7,18.7
1008,WPR_2022,1,1,2,ILL360,2/1/2022,85,121,28.7,13.3
1009,WPR_2022,1,1,3,PI472354,2/1/2022,77,101,21,4.3
1010,WPR_2022,1,1,3,PI298645,2/1/2022,80,124,27,12.7
1011,WPR_2022,1,1,3,PI432201,2/1/2022,80,123,33.3,15
1012,WPR_2022,1,1,3,PI431756,2/1/2022,91,113,27.3,15.3
1014,WPR_2022,1,1,4,ILL413,2/1/2022,91,122,23.3,12.7
1015,WPR_2022,1,1,4,PI472143,2/1/2022,85,120,28.7,13.3
1016,WPR_2022,1,1,4,PI472488,2/1/2022,77,100,19.7,5.3
1017,WPR_2022,1,1,4,PI472559,2/1/2022,77,100,25,4
1018,WPR_2022,1,1,4,ILL435,2/1/2022,91,121,24.3,11
1019,WPR_2022,1,1,4,PI251032,2/1/2022,80,119,26.3,15
1020,WPR_2022,1,1,4,PI486127,2/1/2022,91,117,30.7,17.7
1021,WPR_2022,1,1,3,PI298357,2/1/2022,87,117,27.7,14.3
1022,WPR_2022,1,1,3,PI518732,2/1/2022,85,117,32.7,14
1023,WPR_2022,1,1,3,PI468901,2/1/2022,82,117,30,11
1024,WPR_2022,1,1,3,ILL217,2/1/2022,89,104,32.7,11.3
1025,WPR_2022,1,1,2,PI472383,2/1/2022,77,105,22,2.5
1026,WPR_2022,1,1,2,PI251784,2/1/2022,89,108,32.7,17.7
1027,WPR_2022,1,1,2,PI432190,2/1/2022,91,123,29.7,18.3
1028,WPR_2022,1,1,2,PI431774,2/1/2022,91,102,29.3,9.7
1029,WPR_2022,1,1,1,ILL906,2/1/2022,87,119,21.7,9
1030,WPR_2022,1,1,1,PI420924,2/1/2022,87,119,32.7,10.2
1031,WPR_2022,1,1,1,PI182217,2/1/2022,91,110,19.3,10
1033,WPR_2022,1,1,1,W627782,2/1/2022,91,99,25,2.8
1034,WPR_2022,1,1,1,PI432002,2/1/2022,91,118,25.3,10
1035,WPR_2022,1,1,1,W627780,2/1/2022,91,98,28.7,6.3
1036,WPR_2022,1,1,1,PI431893,2/1/2022,87,119,27,14.7
1039,WPR_2022,1,1,2,PI472380,2/1/2022,77,98,28.3,5.7
1040,WPR_2022,1,1,2,PI178971,2/1/2022,91,111,24.3,8
1041,WPR_2022,1,1,3,PI251248,2/1/2022,77,103,18.3,3.7
1042,WPR_2022,1,1,3,PI472195,2/1/2022,77,99,19,3
1043,WPR_2022,1,1,3,PI432145,2/1/2022,91,114,22.3,11.3
1044,WPR_2022,1,1,3,PI472213,2/1/2022,77,110,28.3,4.8
1045,WPR_2022,1,1,4,W627758,2/1/2022,85,117,24.7,10
1046,WPR_2022,1,1,4,PI339285,2/1/2022,91,122,24,8
1047,WPR_2022,1,1,4,PI472400,2/1/2022,91,108,21.7,4.7
1048,WPR_2022,1,1,4,PI178939,2/1/2022,87,123,30.3,16.7
1049,WPR_2022,1,1,4,PI207492,2/1/2022,80,108,22.7,8.8
1050,WPR_2022,1,1,4,PI431809,2/1/2022,82,114,28.7,13.3
1051,WPR_2022,1,1,4,PI163589,2/1/2022,87,118,29.7,12.7
1052,WPR_2022,1,1,4,PI426797,2/1/2022,77,104,26,5.3
1053,WPR_2022,1,1,3,PI299207,2/1/2022,77,106,32.7,13.7
1054,WPR_2022,1,1,3,PI432185,2/1/2022,82,116,26,11.3
1055,WPR_2022,1,1,3,PI297772,2/1/2022,91,122,23.3,9.3
1056,WPR_2022,1,1,3,PI299371,2/1/2022,82,115,28.7,16.7
1057,WPR_2022,1,1,2,PI298922,2/1/2022,91,120,19.3,7
1058,WPR_2022,1,1,2,ILL186,2/1/2022,91,113,21.3,9.7
1059,WPR_2022,1,1,2,PI472224,2/1/2022,77,100,22.3,4.5
1060,WPR_2022,1,1,2,PI181771,2/1/2022,82,116,26,11
1061,WPR_2022,1,1,1,PI490288,2/1/2022,87,113,29.7,14.5
1062,WPR_2022,1,1,1,PI432271,2/1/2022,91,116,35,14
1063,WPR_2022,1,1,1,PI431633,2/1/2022,85,114,31.3,11
1064,WPR_2022,1,1,1,ILL151,2/1/2022,91,118,23,10.7
1065,WPR_2022,1,1,1,PI426202,2/1/2022,91,116,20.3,10
1066,WPR_2022,1,1,1,PI432087,2/1/2022,87,116,21.7,10.7
1067,WPR_2022,1,1,1,PI431656,2/1/2022,82,108,29.3,10
1068,WPR_2022,1,1,1,PI429369,2/1/2022,77,116,24.3,9
1070,WPR_2022,1,1,2,PI290716,2/1/2022,87,116,26,12.3
1071,WPR_2022,1,1,2,PI298023,2/1/2022,85,116,26.7,14.7
1072,WPR_2022,1,1,2,PI431980,2/1/2022,87,116,25.7,12.3
1073,WPR_2022,1,1,3,PI289079,2/1/2022,91,117,25.3,12
1074,WPR_2022,1,1,3,PI374121,2/1/2022,78,110,28.3,8.3
